68065968841552,132.0
68066472381591,133.0
68067026275634,134.0
68067630523681,135.0
68068184417724,136.0
68068738311767,137.0
68069292205810,138.0
68069846099853,139.0
68070450347900,140.0
68070953887939,141.0
68071457427978,142.0
68072011322021,143.0
68072615570068,144.0
68073169464111,145.0
68073723358154,146.0
68074226898193,147.0
68074831146240,148.0
68075385040283,149.0
68075938934326,150.0
68076492828369,151.0
68077147430419,152.0
68077650970458,153.0
68078255218505,154.0
68078809112548,155.0
68079363006591,156.0
68079916900634,157.0
68080521148681,158.0
68081024688720,159.0
68081628936767,160.0
68082233184814,161.0
68082736724853,162.0
68121912139892,230.0
68122264617919,231.0
68122919219970,232.0
