1431367387230,45672559841207,0,400000000,0,400000000,10
1431367392674,45678016750387,5,492523194,1,411565399,9
1431367393405,45678745998434,13,748626709,3,453698062,9
1431367393780,45679119930319,13,394348144,4,446279323,9
1431367394209,45679553310446,16,393615723,5,439696373,9
1431367394544,45679888210348,15,413696289,7,436446362,10
1431367395016,45680360958151,16,393981934,8,431138309,10
1431367395391,45680735256247,15,413696289,9,428958056,10
1431367395825,45681169063620,16,413726806,10,427054150,10
1431367396198,45681543026022,16,394378662,10,422969714,10
1431367396593,45681937404389,17,413726807,11,421814350,10
1431367396987,45682331020112,15,413726512,12,420803370,10
1431367397400,45682744655366,16,413635254,12,419907356,10
1431367397814,45683158382172,14,354614257,12,411745718,11
1431367398231,45683572017426,15,413696290,13,411989540,11
1431367398622,45683966029877,12,413604736,13,412191439,11
1431367399036,45684379665131,16,393615723,13,409869475,11
1431367399390,45684734279389,15,394012451,13,407887347,11
1431367399805,45685147975678,16,394317627,14,406191132,11
1431367400217,45685561671967,13,373931884,13,402158726,11
1431367400591,45685935970063,16,413696289,14,403600921,11
1431367401006,45686349635834,12,394378663,13,402448139,11
1431367401399,45686743648286,16,433013916,14,406268861,11
1431367401833,45687177058930,13,374298095,14,402272515,10
1431367402209,45687551753754,13,413696289,14,403700487,11
1431367402963,45688299953217,12,394012451,13,402489482,11
1431367403397,45688713649506,10,394348144,13,401471815,11
1431367403735,45689068202729,11,393585206,12,400485989,11
1431367404151,45689481899018,11,393981933,12,399672982,11
1431367404572,45689895503754,14,374206543,12,396489677,10
1431367404942,45690270168061,12,394012451,12,396180023,10
1431367405305,45690644038911,16,413665772,13,398365742,10
1431367406480,45691806514496,13,393920898,12,382240192,10
1431367406922,45692239393126,16,413591520,12,386159108,11
1431367407310,45692653058897,13,394317627,12,387178923,11
1431367407714,45693047346006,15,393554687,13,387975893,11
1431367408209,45693520032774,12,433654785,12,393685755,11
1431367408569,45693913556944,11,393554688,12,393669371,11
1431367408942,45694268079649,9,374603271,12,391286109,11
1431367410470,45695784742247,6,472747803,10,401468820,10
1431367410985,45696316511046,6,492828369,10,412888764,10
1431367411490,45696829053770,8,551147461,10,430171101,10
1431367411997,45697340772520,6,551483155,9,445335108,10
1431367412496,45697833570372,6,492828369,9,451271765,10
1431367413040,45698384656797,8,531768799,9,461333894,10
1431367413634,45698916456114,8,511688232,9,467628187,10
1431367414106,45699448224913,7,551849365,8,478155834,10
1431367414609,45699940534483,6,492004395,8,479886904,10
1431367415143,45700452558409,5,590759277,8,493745950,10
1431367415572,45700905897032,6,433258057,7,486184964,10
1431367416152,45701496686827,5,512023925,7,489414834,10
1431367416695,45702028456291,5,492340088,7,489780491,10
1431367417317,45702658033927,4,571015070,7,499934813,9
1431367417867,45703189619621,6,630401611,6,516243163,9
1431367418431,45703741316398,5,452484131,6,508273284,9
1431367418955,45704292250236,7,689147949,6,530882617,9
1431367419459,45704784498771,7,433166504,6,518668103,9
1431367419998,45705336134513,9,649749756,7,535053309,9
1431367420512,45705847700675,6,413452148,7,519853164,9
1431367421013,45706320204337,7,590667725,7,528704984,9
1431367421308,45706635572990,4,374420166,6,509419382,9
1431367421664,45706990004142,11,314666748,7,485075302,9
1431367422128,45707442427238,15,394134521,8,473707705,10
1431367422516,45707855940421,12,413482666,8,466179575,10
1431367422869,45708190596183,15,413421631,9,459584832,10
1431367423361,45708663099845,14,432769776,10,456232950,10
1431367423766,45709076490959,15,374023437,10,445956761,10
1431367424191,45709489912589,15,433471680,11,444396125,10
1431367424580,45709922957023,14,393341064,11,438014243,11
1431367425041,45710356459220,14,433441162,12,437442608,11
1431367425451,45710749800285,16,432769776,12,436858504,11
1431367425835,45711143507560,14,394073486,12,431510376,11
1431367426187,45711517469962,17,393280029,13,426731583,11
1431367426662,45711989932210,19,452758790,14,429984984,11
1431367427134,45712442660481,14,394062589,14,425494684,11
1431367427498,45712816683919,13,432708740,14,426396441,11
1431367427853,45713170993001,15,394104004,14,422359886,11
1431367428345,45713623782308,14,413330078,14,421231160,11
1431367428699,45714037112386,16,413391113,14,420251154,11
1431367429510,45714804812581,12,373626709,13,414423099,11
1431367429907,45715218142659,16,413360596,13,414290286,11
1431367430251,45715572451741,16,374023437,14,409256930,12
1431367430683,45716005465657,14,413299561,14,409762258,12
1431367431119,45716438876302,13,413299560,14,410204421,12
1431367431466,45716793215901,18,413391114,14,410602758,12
1431367431857,45717186495931,13,374359131,14,406072304,12
1431367432386,45717658969075,14,413421630,14,406990970,12
1431367432696,45718033328206,12,373657227,14,402824252,12
1431367433077,45718406924397,14,413299560,14,404133665,12
1431367433462,45718800936849,13,373931885,14,400358443,12
1431367434276,45719587924153,13,393280029,13,399473641,12
1431367434780,45720001315267,11,393737793,13,398756660,12
1431367435077,45720375338704,13,413391113,13,400585967,11
1431367435446,45720769045980,11,354339600,13,394805171,11
1431367435837,45721143069417,14,413391113,13,397128413,11
1431367436207,45721517428548,13,373992920,13,394236477,11
1431367436601,45721910733621,14,393676758,13,394166512,11
1431367437387,45722678433816,12,413330078,13,396561957,11
